noise_level_1_loop.thisN,key_resp_2.keys,trials.thisIndex,noise_level_1_loop.thisIndex,key_resp_3.rt,FileName,noise_level_2_loop.thisIndex,noise_level_3_loop.ran,noise_level_1_loop.thisRepN,noise_level_3_loop.thisTrialN,session,Phoneme3Surprisal,noise_level_3_loop.thisN,__datetime,key_resp_2.rt,OS,noise_level_3_loop.thisIndex,__experimentName,LexicalFrequency,key_resp_6.keys,key_resp_7.keys,key_resp_5.rt,noise_level_3_loop.thisRepN,FilePath,expName,key_resp_5.keys,key_resp_3.keys,Phoneme2Surprisal,Condition,key_resp_4.rt,textbox_3.text,trials.thisRepN,psychopyVersion,NoiseLevel,noise_level_2_loop.thisRepN,noise_level_2_loop.ran,trials.thisTrialN,trials.ran,frameRate,key_resp.rt,noise_level_2_loop.thisTrialN,trials.thisN,date,noise_level_1_loop.thisTrialN,textbox_2.text,__participant,key_resp.keys,__session,Words,key_resp_4.keys,noise_level_1_loop.ran,participant,key_resp_7.rt,Phoneme1Surprisal,noise_level_2_loop.thisN,key_resp_6.rt,textbox.text
﻿,,,,,,,,,,001,,,2024-01-17_06h46.12.833,,Win32,,syllable_storage,,,,,,,syllable_storage,,,,,,,,2022.2.5,,,,,,59.95203836927736,5.326000000000008,,,2024-01-17_06h46.18.900,,,100715,return,001,,,,100715,,,,,
﻿,return,,,,,,,,,001,,,2024-01-17_06h46.12.833,2.583999999999989,Win32,,syllable_storage,,,,,,,syllable_storage,,,,,,,,2022.2.5,,,,,,59.95203836927736,,,,2024-01-17_06h46.18.900,,,100715,,001,,,,100715,,,,,
﻿,,0,,,,,,,,001,,,2024-01-17_06h46.12.833,,Win32,,syllable_storage,,,,,,,syllable_storage,,,,,,,0,2022.2.5,,,,0,1,59.95203836927736,,,0,2024-01-17_06h46.18.900,,,100715,,001,,,,100715,,,,,
﻿,,,,2.4480000000000075,,,,,,001,,,2024-01-17_06h46.12.833,,Win32,,syllable_storage,,,,,,,syllable_storage,,return,,,,,,2022.2.5,,,,,,59.95203836927736,,,,2024-01-17_06h46.18.900,,,100715,,001,,,,100715,,,,,
﻿0,,,56,,full_stimuli_Yob-add_Pink_noise__50.wav,,,0,,001,0,,2024-01-17_06h46.12.833,,Win32,,syllable_storage,0,,,5.1440000000000055,,Stimuli/Experimental Stimuli/full_stimuli_Yob-add_Pink_noise__50.wav,syllable_storage,return,,0.07782426778,Nonce,,,,2022.2.5,1,,,,,59.95203836927736,,,,2024-01-17_06h46.18.900,0,,100715,,001,Yob,,1,100715,,0.009679640355,,,yob
﻿1,,,22,,full_stimuli_jab-add_Pink_noise__50.wav,,,0,,001,0.03157894737,,2024-01-17_06h46.12.833,,Win32,,syllable_storage,43915,,,2.2210000000000036,,Stimuli/Experimental Stimuli/full_stimuli_jab-add_Pink_noise__50.wav,syllable_storage,return,,0.0953815261,Real,,,,2022.2.5,1,,,,,59.95203836927736,,,,2024-01-17_06h46.18.900,1,,100715,,001,Jab,,1,100715,,0.01613543396,,,jab
﻿2,,,29,,full_stimuli_Lom-add_Pink_noise__50.wav,,,0,,001,0.05373134328,,2024-01-17_06h46.12.833,,Win32,,syllable_storage,0,,,3.0970000000000084,,Stimuli/Experimental Stimuli/full_stimuli_Lom-add_Pink_noise__50.wav,syllable_storage,return,,0.06427475058,Nonce,,,,2022.2.5,1,,,,,59.95203836927736,,,,2024-01-17_06h46.18.900,2,,100715,,001,Lom,,1,100715,,0.04221781216,,,lob
﻿3,,,1,,full_stimuli_Bep-add_Pink_noise__50.wav,,,0,,001,0,,2024-01-17_06h46.12.833,,Win32,,syllable_storage,0,,,3.5209999999999866,,Stimuli/Experimental Stimuli/full_stimuli_Bep-add_Pink_noise__50.wav,syllable_storage,return,,0.08037773142,Nonce,,,,2022.2.5,1,,,,,59.95203836927736,,,,2024-01-17_06h46.18.900,3,,100715,,001,Bep,,1,100715,,0.07376776963,,,bep
﻿4,,,39,,full_stimuli_Ret-add_Pink_noise__50.wav,,,0,,001,0.05426356589,,2024-01-17_06h46.12.833,,Win32,,syllable_storage,0,,,1.9770000000000039,,Stimuli/Experimental Stimuli/full_stimuli_Ret-add_Pink_noise__50.wav,syllable_storage,return,,0.09647023631,Nonce,,,,2022.2.5,1,,,,,59.95203836927736,,,,2024-01-17_06h46.18.900,4,,100715,,001,Ret,,1,100715,,0.05415738528,,,rep
﻿5,,,49,,full_stimuli_Vop-add_Pink_noise__50.wav,,,0,,001,0,,2024-01-17_06h46.12.833,,Win32,,syllable_storage,0,,,5.671000000000021,,Stimuli/Experimental Stimuli/full_stimuli_Vop-add_Pink_noise__50.wav,syllable_storage,return,,0.06396118218,Nonce,,,,2022.2.5,1,,,,,59.95203836927736,,,,2024-01-17_06h46.18.900,5,,100715,,001,Vop,,1,100715,,0.01836296626,,,vop
